Cau_hoi,Dap_an_A,Dap_an_B,Dap_an_C,Dap_an_D,Dap_an_dung
TEXT 1 - Câu 1,He realized he wouldn't enjoy the views as much.,He thought it would be too tiring for him.,He discovered the bus would be a cheaper option.,He found out the route was very challenging.,D
TEXT 1 - Câu 2,worried that it might approach her.,amazed at the size of it.,sad that it didn't stay with them long.,disappointed that she had forgotten her camera.,A
TEXT 1 - Câu 3,responsible for damage to the trees.,even more attractive than people had told her.,more common than she'd expected.,very skilled at hiding away from tourists.,C
TEXT 1 - Câu 4,She found it was less comfortable than she'd hoped.,She liked the fact that it was convenient for sightseeing.,She enjoyed hearing the sounds of nature as she slept.,She was disappointed there was no restaurant nearby.,B
TEXT 1 - Câu 5,"The bus we're traveling on is pretty comfortable, with great views from the window. Grandma and Grandad are enjoying it, too!",We can see quite a lot as we drive along. I just wish we could stop and get out to explore properly.,Yesterday we went to see some huge rocks near our campsite - and we were really impressed! I'm surprised they're not well known.,"I wasn't looking forward to camping, in case there were wild animals, but we haven't seen anything at all dangerous, so I feel silly now!",D
TEXT 6 - Câu 1,he thought her trip sounded a lot more exciting.,he'd read some negative reports about where he was going.,he wasn't sure if his dad had definitely arranged it.,he didn't know whether she was very interested in whales.,B
TEXT 6 - Câu 2,was proud to be the first person to see a whale.,began to worry that they might all be disappointed.,tried not to get excited when anyone saw something.,was glad he'd persuaded his dad to come with him.,A
TEXT 6 - Câu 3,surprised at how close it came to the boat.,amazed that it was so much bigger than he'd imagined.,impressed that it moved through the water so easily.,delighted to see it had arrived with several others.,C
TEXT 6 - Câu 4,they knew there were plenty of fish there.,they were attracted by the arrival of the visitors.,they didn't have to compete for food with seabirds.,they preferred how deep the water was there.,B
TEXT 6 - Câu 5,"I'll send you my video of the group of whales - they only appeared briefly, so they weren't as interesting as the first one we saw.","Dad said he'd really wanted to go to Canada to watch whales, like my friend Olivia - but now we're really happy we came here.","I must take you up to the cliffs to look for whales - we've seen them every time we've been there, so far.","You were so sure our whale-watching trip would be a success, while I still had doubts - but you were right.",D
TEXT 11 - Câu 1,is grown by the staff.,comes from places in or close to Brighton.,comes from all over the world.,comes all over Britain.,B
TEXT 11 - Câu 2,at junior school,at university,at home with the help of her family,in a hotel,D
TEXT 11 - Câu 3,She was really tired but felt positive about the experience.,She wanted to give up because of the pressure.,She wasn't sure if she would be successful.,She found it quite easy to finish the training.,A
TEXT 11 - Câu 4,The head waiter is in charge of the menu.,The staff often change jobs because they like to do different things.,It is a big and fancy restaurant with a great view.,The staff have a very good relationship with each other.,D
TEXT 11 - Câu 5,Freshly restaurant may serve tasty food but it is extremely pricey - not worth it.,A great effort from a successful young chef who supports local products.,A famous chef who tried rather unsuccessfully to set up a different kind of restaurant.,The cheerful staff and nice location are the only things that are worth mentioning.,B
TEXT 23 - Câu 1,practicing her singing with a band,asking a teacher to stand on stage with her,being in a drama group at school,making sure she was not in the front row,C
TEXT 23 - Câu 2,She was able to meet some well-known singers.,The teacher's attitude gave her an idea for a song.,She learned a lot from other writers on the course.,The teacher gave her advice about the music business.,B
TEXT 23 - Câu 3,he promised to let her choose which songs to sing.,he offered to help her put on a concert.,she liked some other singers that he worked with.,he owned a company in her hometown.,A
TEXT 23 - Câu 4,she is sure her fans will like it.,deal with difficult times.,her brother can sing with his band.,help people remember their own experiences.,B
TEXT 23 - Câu 5,Listening to my parents playing music on their instruments really encouraged me to become a singer myself.,Writing songs just gets easier with practice. Nowadays it only takes a week or so - it wasn't like that when I started!,I loved playing the concert in Dublin. I hope that next time we'll sell all the tickets - it was a shame to have some empty seats!,I read what people write about me online - it means a lot to me that they like listening carefully to my songs.,D
